,TName,TPrice,TACPrice,TDesc,TOff
0,TCL 215 cm (85 inch) QLED Ultra HD (4K) Smart Google TV T-SCREEN |Dolby Vision-Atmos | Hands-Free Voic...,"₹1,49,990","₹5,09,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Product Warranty,70% off
1,acerpure 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV,"₹47,999","₹1,09,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,56% off
2,Mi by Xiaomi X Pro QLED 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV 4K Dolby Vision | Dolby Au...,"₹69,999","₹99,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),30% off
3,"Foxsky 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV Dolby Audio, HDR10 ( 2024)","₹42,999","₹1,30,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,67% off
4,realme TechLife CineSonic Q 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV,"₹39,999","₹85,999",Operating System: Google TVUltra HD (4K) 3840 X2160 PixelsLaunch Year: 20241 Year Warranty,53% off
5,realme TechLife CineSonic 165 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition,"₹38,999","₹81,999",Operating System: Google TVUltra HD (4K) 3840 X2160 PixelsLaunch Year: 20241 Year Warranty,52% off
6,SONY BRAVIA 3 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with Advanced AI Proce...,"₹1,05,990","₹1,64,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,35% off
7,SONY BRAVIA 7 163.9 cm (65 inch) Ultra HD (4K) Mini LED Smart Google TV 2024 Edition with Advanced AI ...,"₹1,99,490","₹2,99,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,33% off
8,Thomson Phoenix 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & Atmos,"₹69,999","₹1,49,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty on Product & 6 Months Warranty on Accessories,53% off
9,TOSHIBA C450NP 164 cm (65 inch) QLED Ultra HD (4K) Smart VIDAA TV Dolby Vision Atmos and REGZA Engine ...,"₹54,799","₹89,999",Operating System: VIDAAUltra HD (4K) 3840 X 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty,39% off
10,TOSHIBA C450NP 215 cm (85 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision Atmos and REGZA Engine...,"₹1,49,999","₹2,99,999",Operating System: Google TVUltra HD (4K) 3840 X 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty,50% off
11,acerpure Swift TV by Acer (2024 Series) 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Editio...,"₹45,999","₹99,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty On Product,53% off
12,Hisense U7N 164 cm (65 inch) Ultra HD (4K) Mini LED Smart VIDAA TV 2024 Edition with 336 Full Array Lo...,"₹99,999","₹1,49,999",Operating System: VIDAAUltra HD (4K) 3840 X 2160 PixelsLaunch Year: 20243 Years Comprehensive Warranty,33% off
13,"Hisense E6N 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with Dolby Vision Atmos, D...","₹49,999","₹79,999",Operating System: Google TVUltra HD (4K) 3840 X 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty,37% off
14,Hisense U6N Pro 165 cm (65 inch) Ultra HD (4K) Mini LED Smart VIDAA TV 2024 Edition with Dolby Vision ...,"₹69,999","₹1,19,999",Operating System: VIDAAUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20243 Years Comprehensive Warranty,41% off
15,Coocaa Frameless 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV Matte Display,"₹47,999","₹99,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Domestic Warranty,51% off
16,Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with HDR 10+ Dolby Vi...,"₹45,999","₹79,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Domestic Warranty,42% off
17,Hisense Q6N 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision Atmos Far Field Voice Con...,"₹96,999","₹1,49,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty,35% off
18,Hisense Q6N 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision Atmos Far Field Voice Con...,"₹63,999","₹99,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty,36% off
19,TOSHIBA C350NP 189 cm (75 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with Dolby Vision Atmos...,"₹79,999","₹1,14,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty,30% off
20,LG QNED 75 164 cm (65 inch) Ultra HD (4K) QNED Smart WebOS TV 2024 Edition with Alpha5 AI Processor 4K...,"₹98,991","₹1,59,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply),38% off
21,SONY Bravia 2 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with Feature for PlayS...,"₹78,990","₹1,39,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,43% off
22,SAMSUNG Vivid Pro 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV 2024 Edition,"₹1,09,990","₹1,49,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),26% off
23,"Daiwa 165 cm (65 inch) QLED Ultra HD (4K) Smart WebOS TV Bezelless design,LG ThinQ and Dolby Audio","₹52,999","₹94,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 year Comprehensive Warranty on Product,44% off
24,SAMSUNG The Frame 165.1 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV 2024 Model,"₹1,35,900","₹1,79,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),24% off
25,TCL P71B Pro 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV Hands Free Voice Control |Dolby Visio...,"₹69,990","₹2,58,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty,72% off
